ID,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Vintage,Response
1,Male,44,1,28,0,> 2 Years,Yes,40454,217,1
2,Male,76,1,3,0,1-2 Year,No,33536,183,0
3,Male,47,1,28,0,> 2 Years,Yes,38294,27,1
4,Male,21,1,11,1,< 1 Year,No,28619,203,0
5,Female,29,1,41,1,< 1 Year,No,27496,39,0
6,Female,24,1,33,0,< 1 Year,Yes,2630,176,0
7,Male,23,1,11,0,< 1 Year,Yes,23367,249,0
8,Female,56,1,28,0,1-2 Year,Yes,32031,72,1
9,Female,24,1,3,1,< 1 Year,No,27619,28,0
10,Female,32,1,6,1,< 1 Year,No,28771,80,0
11,Female,47,1,35,0,1-2 Year,Yes,47576,46,1
12,Female,24,1,50,1,< 1 Year,No,48699,289,0
13,Female,41,1,15,1,1-2 Year,No,31409,221,0
14,Male,76,1,28,0,1-2 Year,Yes,36770,15,0
15,Male,71,1,28,1,1-2 Year,No,46818,58,0
16,Male,37,1,6,0,1-2 Year,Yes,2630,147,1
17,Female,25,1,45,0,< 1 Year,Yes,26218,256,0
18,Female,25,1,35,1,< 1 Year,No,46622,299,0
19,Male,42,1,28,0,1-2 Year,Yes,33667,158,0
20,Female,60,1,33,0,1-2 Year,Yes,32363,102,1
21,Male,65,1,28,0,1-2 Year,Yes,41184,116,0
22,Male,49,1,28,0,1-2 Year,Yes,50791,177,0
23,Male,23,1,50,1,< 1 Year,No,45283,232,0
24,Male,44,1,28,0,1-2 Year,Yes,41852,60,0
25,Male,34,1,15,1,1-2 Year,No,38111,180,0
26,Female,21,1,28,1,< 1 Year,No,61964,72,0
27,Female,51,1,28,0,1-2 Year,Yes,38341,49,1
28,Male,26,1,6,1,< 1 Year,No,19135,57,0
29,Female,25,1,8,1,< 1 Year,No,27946,223,0
30,Male,57,1,11,0,1-2 Year,Yes,25679,232,1
31,Female,26,1,8,0,< 1 Year,No,2630,136,0
32,Male,79,1,28,0,1-2 Year,Yes,57444,222,0
33,Female,48,1,28,0,1-2 Year,Yes,36951,149,0
34,Female,24,1,36,0,< 1 Year,Yes,43129,49,0
35,Female,32,1,30,1,< 1 Year,No,27638,169,0
36,Male,41,1,36,1,1-2 Year,No,30039,88,0
37,Male,71,1,8,1,1-2 Year,No,40903,253,0
38,Female,25,1,28,1,< 1 Year,No,76251,107,0
39,Male,45,1,8,0,1-2 Year,Yes,42297,264,0
40,Male,72,1,41,1,1-2 Year,No,32210,233,0
41,Male,30,1,30,0,< 1 Year,Yes,24550,45,0
42,Female,54,1,28,0,1-2 Year,No,38560,184,0
43,Male,27,1,41,0,< 1 Year,No,21078,251,0
44,Female,38,1,35,1,1-2 Year,No,2630,153,0
45,Female,26,1,30,1,< 1 Year,No,31136,186,0
46,Male,56,1,28,0,1-2 Year,Yes,34617,71,0
47,Female,29,1,15,1,< 1 Year,No,32923,34,0
48,Male,51,1,26,1,1-2 Year,No,33761,83,0
49,Female,25,1,15,0,< 1 Year,No,38667,12,0
50,Male,48,1,3,0,1-2 Year,No,38233,246,0
51,Female,22,1,50,0,< 1 Year,No,15052,141,0
52,Male,22,1,16,0,< 1 Year,Yes,30673,216,0
53,Female,49,1,3,1,1-2 Year,No,25553,130,0
54,Male,78,1,41,1,1-2 Year,No,49491,282,0
55,Female,44,1,28,0,1-2 Year,Yes,45415,73,0
56,Female,20,1,47,0,< 1 Year,Yes,25380,171,0
57,Male,39,1,28,0,1-2 Year,Yes,57582,141,0
58,Male,54,1,28,0,1-2 Year,Yes,25205,283,1
59,Female,62,1,48,0,1-2 Year,Yes,2630,295,0
60,Male,29,1,3,1,< 1 Year,No,35463,165,0
61,Male,49,1,8,0,1-2 Year,Yes,2630,30,0
